date,portfolio_value,returns,cummax,drawdown
2023-10-23,10000.0,,10000.0,0.0
2023-10-24,9997.101511105195,-0.00028984888948058174,10000.0,-0.028984888948058174
2023-10-25,10000.703046005914,0.00036025791042715305,10000.703046005914,0.0
2023-10-26,10000.703046005914,0.0,10000.703046005914,0.0
2023-10-27,10001.897017238723,0.00011938872970396197,10001.897017238723,0.0
2023-10-30,9986.971484665737,-0.0014922701710746722,10001.897017238723,-0.14922701710746722
2023-10-31,9987.04440184286,7.3012301311514705e-06,10001.897017238723,-0.148497983635143
2023-11-01,9988.919164931494,0.00018771951071805404,10001.897017238723,-0.12975390853215973
2023-11-02,9991.293971277402,0.0002377440748790871,10001.897017238723,-0.10601034926720487
2023-11-03,9997.416921577706,0.0006128285603350658,10001.897017238723,-0.04479245940340881
2023-11-06,9992.418150964932,-0.0005000062168043495,10001.897017238723,-0.0947706845756846
2023-11-07,10014.144926100329,0.0021743260547297805,10014.144926100329,0.0
2023-11-08,10011.3432066812,-0.0002797762005447568,10014.144926100329,-0.027977620054475683
2023-11-09,10011.858876573748,5.150856202829068e-05,10014.144926100329,-0.022828204938629693
2023-11-10,10019.089460556665,0.0007222019479156128,10019.089460556665,0.0
2023-11-13,10025.21683222106,0.0006115697128483699,10025.21683222106,0.0
2023-11-14,10035.706742264552,0.001046352434969533,10035.706742264552,0.0
2023-11-15,10035.706742264552,0.0,10035.706742264552,0.0
2023-11-16,10009.730522000358,-0.0025883797655024132,10035.706742264552,-0.2588379765502413
2023-11-17,10016.040134524286,0.0006303478909905902,10035.706742264552,-0.19596634542380365
2023-11-20,9999.006506366923,-0.0017006349743597937,10035.706742264552,-0.36569657563896296
2023-11-21,10004.95680573504,0.0005950890585308954,10035.706742264552,-0.30640529181678033
2023-11-22,10028.919782381043,0.0023951104548762814,10035.706742264552,-0.06762812084700753
2023-11-23,10041.380451036675,0.0012424736587806073,10041.380451036675,0.0
2023-11-24,10036.150162697752,-0.0005208734361203948,10041.380451036675,-0.05208734361203948
2023-11-27,10033.821561132256,-0.00023202139543021527,10041.380451036675,-0.07527739777690723
2023-11-28,10035.207160587179,0.00013809289376753853,10041.380451036675,-0.06147850367386187
2023-11-29,10031.373745391997,-0.0003819966178911782,10041.380451036675,-0.0996546808824994
2023-11-30,10037.626604257519,0.0006233302660461071,10041.380451036675,-0.037383772056653886
2023-12-01,10041.001093885608,0.00033618401651414054,10041.380451036675,-0.0037779382318636756
2023-12-04,10043.273016471208,0.00022626454915775085,10043.273016471208,0.0
2023-12-05,10041.879819521035,-0.00013871941426757406,10043.273016471208,-0.013871941426757406
2023-12-06,10047.496128993555,0.0005592886564527166,10047.496128993555,0.0
2023-12-07,10051.005008466655,0.00034922924358982144,10051.005008466655,0.0
2023-12-08,10056.16000500775,0.000512883690412469,10056.16000500775,0.0
2023-12-11,10060.271525028696,0.0004088558673389642,10060.271525028696,0.0
2023-12-12,10034.05062982056,-0.0026063804682510128,10060.271525028696,-0.2606380468251013
2023-12-13,10034.05062982056,0.0,10060.271525028696,-0.2606380468251013
2023-12-14,10040.55058948046,0.0006477901995611823,10060.271525028696,-0.1960278656413461
2023-12-15,10036.74363630699,-0.0003791578100764692,10060.271525028696,-0.2338693211527354
2023-12-18,10049.855653923638,0.0013064015672590301,10060.271525028696,-0.10353469167452278
2023-12-19,10070.668629128788,0.0020709725514340693,10070.668629128788,0.0
2023-12-20,10050.695610560892,-0.0019832862447807242,10070.668629128788,-0.19832862447807242
2023-12-21,10039.095851113434,-0.0011541250374023093,10070.668629128788,-0.31351223218716306
2023-12-22,10011.112450367506,-0.0027874423315547014,10070.668629128788,-0.5913825680751716
2023-12-25,10007.475985343683,-0.00036324285056743566,10070.668629128788,-0.6274920376421078
2023-12-26,9997.786832604505,-0.0009681914554047211,10070.668629128788,-0.7237036507534045
2023-12-27,9986.590456140108,-0.0011198854958462956,10070.668629128788,-0.8348817351162663
2023-12-28,9984.614791148893,-0.00019783178251786548,10070.668629128788,-0.8544997472262117
2023-12-29,9979.790663990852,-0.0004831560614955155,10070.668629128788,-0.9024024966433397
